name,department,,,,,,,,,,,,,,,,,,
早孕反应,产科,,,,,,,,,,,,,,,,,,
流产,产科,,,,,,,,,,,,,,,,,,
羊水栓塞,产科,,,,,,,,,,,,,,,,,,
羊水过多,产科,,,,,,,,,,,,,,,,,,
难产,产科,,,,,,,,,,,,,,,,,,
早产,产科,,,,,,,,,,,,,,,,,,
自然流产,产科,,,,,,,,,,,,,,,,,,
前置胎盘,产科,,,,,,,,,,,,,,,,,,
胎盘早剥,产科,,,,,,,,,,,,,,,,,,
羊水过少,产科,,,,,,,,,,,,,,,,,,
破水,产科,,,,,,,,,,,,,,,,,,
过期妊娠,产科,,,,,,,,,,,,,,,,,,
胎儿宫内窘迫,产科,,,,,,,,,,,,,,,,,,
子宫收缩乏力,产科,,,,,,,,,,,,,,,,,,
宫颈妊娠,产科,,,,,,,,,,,,,,,,,,
子宫剖宫产瘢痕妊娠,产科,,,,,,,,,,,,,,,,,,
持续性输卵管妊娠,产科,,,,,,,,,,,,,,,,,,
卵巢妊娠,产科,,,,,,,,,,,,,,,,,,
胎儿生长受限,产科,,,,,,,,,,,,,,,,,,
产道异常,产科,,,,,,,,,,,,,,,,,,
坐月子,产科,,,,,,,,,,,,,,,,,,
双胎输血综合征,产科,,,,,,,,,,,,,,,,,,
子宫收缩过强,产科,,,,,,,,,,,,,,,,,,
晚期产后出血,产科,,,,,,,,,,,,,,,,,,
腹腔妊娠,产科,,,,,,,,,,,,,,,,,,
胎位异常,产科,,,,,,,,,,,,,,,,,,
臀先露,产科,,,,,,,,,,,,,,,,,,
肩难产,产科,,,,,,,,,,,,,,,,,,
脐带异常,产科,,,,,,,,,,,,,,,,,,
子宫残角妊娠,产科,,,,,,,,,,,,,,,,,,
前置血管,产科,,,,,,,,,,,,,,,,,,
脐带打结,产科,,,,,,,,,,,,,,,,,,
妊娠合并水痘感染,产科 传染科,,,,,,,,,,,,,,,,,,
妊娠合并肺结核,产科 传染科,,,,,,,,,,,,,,,,,,
胎儿先天畸形,产科 儿科,,,,,,,,,,,,,,,,,,
Y染色体遗传病,产科 儿科,,,,,,,,,,,,,,,,,,
孕吐,产科 妇产科,,,,,,,,,,,,,,,,,,
子宫复旧不全,产科 妇产科,,,,,,,,,,,,,,,,,,
妊娠合并甲亢,产科 妇产科,,,,,,,,,,,,,,,,,,
脐带脱垂,产科 妇产科,,,,,,,,,,,,,,,,,,
妊娠合并急性肾盂肾炎,产科 妇产科,,,,,,,,,,,,,,,,,,
妊娠合并风湿性心脏病,产科 妇产科,,,,,,,,,,,,,,,,,,
宫外孕,产科 妇科,,,,,,,,,,,,,,,,,,
产褥感染,产科 妇科,,,,,,,,,,,,,,,,,,
妊娠高血压,产科 妇科,,,,,,,,,,,,,,,,,,
妊娠合并糖尿病,产科 妇科,,,,,,,,,,,,,,,,,,
妊娠合并子宫肌瘤,产科 妇科,,,,,,,,,,,,,,,,,,
妊娠合并卵巢肿瘤,产科 妇科,,,,,,,,,,,,,,,,,,
妊娠期内胆汁淤积症,产科 肝胆外科,,,,,,,,,,,,,,,,,,
妊娠合并急性胆囊炎,产科 肝胆外科,,,,,,,,,,,,,,,,,,
大量羊水吸入,产科 呼吸内科,,,,,,,,,,,,,,,,,,
产后出血,产科 急诊科,,,,,,,,,,,,,,,,,,
子宫破裂,产科 急诊科,,,,,,,,,,,,,,,,,,
死胎,产科 急诊科,,,,,,,,,,,,,,,,,,
产后虚脱,产科 急诊科,,,,,,,,,,,,,,,,,,
产力异常性难产,产科 急诊科,,,,,,,,,,,,,,,,,,
产科休克,产科 急诊科,,,,,,,,,,,,,,,,,,
巨大胎儿,产科 急诊科,,,,,,,,,,,,,,,,,,
产科播散性血管内凝血,产科 急诊科,,,,,,,,,,,,,,,,,,
羊膜带综合征,产科 急诊科,,,,,,,,,,,,,,,,,,
横位难产,产科 急诊科,,,,,,,,,,,,,,,,,,
软产道异常性难产,产科 急诊科,,,,,,,,,,,,,,,,,,
持续性枕后位难产,产科 急诊科,,,,,,,,,,,,,,,,,,
持续性枕横位难产,产科 急诊科,,,,,,,,,,,,,,,,,,
羊膜腔感染综合征,产科 急诊科,,,,,,,,,,,,,,,,,,
骨产道异常性难产,产科 急诊科,,,,,,,,,,,,,,,,,,
妊娠糖尿病,产科 内分泌科,,,,,,,,,,,,,,,,,,
代孕,产科 生殖健康,,,,,,,,,,,,,,,,,,
妊娠合并尖锐湿疣,产科 性病科,,,,,,,,,,,,,,,,,,
妊娠合并生殖器疱疹,产科 性病科,,,,,,,,,,,,,,,,,,
妊娠合并梅毒,产科 性病科,,,,,,,,,,,,,,,,,,
妊娠合并支原体感染,产科 性病科,,,,,,,,,,,,,,,,,,
妊娠合并生殖道沙眼衣原体感染,产科 性病科,,,,,,,,,,,,,,,,,,
妊娠合并淋病,产科 性病科,,,,,,,,,,,,,,,,,,
妊娠合并巨细胞病毒感染,产科 性病科,,,,,,,,,,,,,,,,,,
妊娠合并获得性免疫缺陷综合征,产科 性病科,,,,,,,,,,,,,,,,,,
母儿ABO血型不合,产科 血液科,,,,,,,,,,,,,,,,,,
子痫,产科 中医科,,,,,,,,,,,,,,,,,,
产后劳伤,产科 中医科,,,,,,,,,,,,,,,,,,
产后三冲,产科 中医科,,,,,,,,,,,,,,,,,,
产后痉症,产科 中医科,,,,,,,,,,,,,,,,,,
产褥中暑,产科 中医科,,,,,,,,,,,,,,,,,,
毒瘾,成瘾医学科 精神心理科,,,,,,,,,,,,,,,,,,
其他类精神活性物质依赖,成瘾医学科 心理咨询,,,,,,,,,,,,,,,,,,
狂犬病,传染科,,,,,,,,,,,,,,,,,,
猩红热,传染科,,,,,,,,,,,,,,,,,,
登革热,传染科,,,,,,,,,,,,,,,,,,
伤寒,传染科,,,,,,,,,,,,,,,,,,
疟疾,传染科,,,,,,,,,,,,,,,,,,
鼠疫,传染科,,,,,,,,,,,,,,,,,,
血吸虫病,传染科,,,,,,,,,,,,,,,,,,
莱姆病,传染科,,,,,,,,,,,,,,,,,,
布氏杆菌病,传染科,,,,,,,,,,,,,,,,,,
衣原体感染症,传染科,,,,,,,,,,,,,,,,,,
布鲁氏菌病,传染科,,,,,,,,,,,,,,,,,,
恙虫病,传染科,,,,,,,,,,,,,,,,,,
霍乱,传染科,,,,,,,,,,,,,,,,,,
厌氧菌感染,传染科,,,,,,,,,,,,,,,,,,
颈淋巴结结核,传染科,,,,,,,,,,,,,,,,,,
出血热,传染科,,,,,,,,,,,,,,,,,,
钩虫病,传染科,,,,,,,,,,,,,,,,,,
炭疽病,传染科,,,,,,,,,,,,,,,,,,
传染性单核细胞增多,传染科,,,,,,,,,,,,,,,,,,
埃博拉出血热,传染科,,,,,,,,,,,,,,,,,,
丝虫病,传染科,,,,,,,,,,,,,,,,,,
